// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43442	9.663888	0.957900	-1.105586	0.663318	0.019691	-0.746607	-0.046897
43443	9.677946	0.932895	-1.073401	0.663378	0.019514	-0.746546	-0.047101
43444	9.626747	0.904981	-1.056307	0.663450	0.019384	-0.746473	-0.047284
43445	9.630323	0.852368	-1.115389	0.663395	0.019319	-0.746514	-0.047449
43446	9.662663	0.827922	-1.094187	0.663421	0.019355	-0.746483	-0.047557
43447	9.714004	0.857443	-1.108693	0.663366	0.019411	-0.746523	-0.047666
43448	9.722807	0.894856	-1.140566	0.663341	0.019479	-0.746540	-0.047730
43449	9.683241	0.890190	-1.055364	0.663352	0.019523	-0.746524	-0.047788
43450	9.625704	0.846426	-1.122530	0.663347	0.019686	-0.746527	-0.047750
43451	9.679473	0.893072	-1.110266	0.663275	0.019863	-0.746587	-0.047733
43452	9.702186	0.863618	-1.133656	0.663188	0.019980	-0.746662	-0.047731
43453	9.666983	0.872551	-1.183690	0.663134	0.020077	-0.746706	-0.047753
43454	9.639403	0.933787	-1.150223	0.663095	0.020127	-0.746736	-0.047795
43455	9.704583	0.937356	-1.135193	0.663067	0.020161	-0.746759	-0.047827
43456	9.691753	0.848131	-1.131236	0.663109	0.020147	-0.746718	-0.047883
43457	9.682392	0.843048	-1.173347	0.663077	0.020200	-0.746745	-0.047877
43458	9.723143	0.840990	-1.137197	0.663057	0.020353	-0.746764	-0.047806
43459	9.675712	0.866372	-1.093923	0.663099	0.020542	-0.746729	-0.047682
43460	9.656165	0.885084	-1.110991	0.663122	0.020734	-0.746714	-0.047524
43461	9.662840	0.913816	-1.076076	0.663059	0.020868	-0.746772	-0.047418
43462	9.654366	0.889751	-1.093201	0.662980	0.020947	-0.746845	-0.047331
43463	9.693132	0.881759	-1.132976	0.662896	0.020955	-0.746922	-0.047304
43464	9.670283	0.869541	-1.133033	0.662849	0.020972	-0.746967	-0.047241
43465	9.666120	0.856389	-1.141703	0.662805	0.020966	-0.747010	-0.047183
43466	9.654818	0.897097	-1.145455	0.662741	0.021018	-0.747073	-0.047058
43467	9.688793	0.905600	-1.124831	0.662724	0.020999	-0.747093	-0.046991
43468	9.651761	0.904799	-1.106815	0.662713	0.020978	-0.747109	-0.046893
43469	9.664383	0.937680	-1.085119	0.662588	0.020888	-0.747225	-0.046869
43470	9.698925	0.916889	-1.133446	0.662479	0.020680	-0.747320	-0.046985
43471	9.662083	0.833083	-1.156651	0.662477	0.020447	-0.747320	-0.047107
43472	9.655978	0.856278	-1.217921	0.662501	0.020391	-0.747301	-0.047090
43473	9.663321	0.894879	-1.087610	0.662511	0.020526	-0.747298	-0.046935
43474	9.648815	0.947891	-1.051224	0.662429	0.020531	-0.747372	-0.046912
43475	9.692905	0.934772	-1.198297	0.662280	0.020546	-0.747507	-0.046866
43476	9.714435	0.919726	-1.108030	0.662229	0.020494	-0.747552	-0.046889
43477	9.688711	0.879306	-1.228604	0.662239	0.020415	-0.747543	-0.046929
43478	9.751685	0.863987	-1.239307	0.662306	0.020249	-0.747478	-0.047084
43479	9.733096	0.936445	-1.279850	0.662521	0.020238	-0.747288	-0.047084
43480	9.634689	1.057630	-1.156275	0.662686	0.020225	-0.747145	-0.047035
43481	9.606066	1.026612	-1.091643	0.662826	0.020106	-0.747021	-0.047084
43482	9.602792	0.888847	-1.156166	0.662956	0.019858	-0.746898	-0.047303
43483	9.600920	0.829260	-1.199845	0.663096	0.019694	-0.746767	-0.047482
43484	9.660701	0.868020	-1.147662	0.663238	0.019572	-0.746633	-0.047672
43485	9.693070	0.967712	-1.061570	0.663352	0.019494	-0.746522	-0.047836
43486	9.673526	1.018200	-1.150583	0.663409	0.019310	-0.746462	-0.048056
43487	9.657845	0.994146	-1.132282	0.663452	0.019099	-0.746420	-0.048204
43488	9.687274	0.926655	-1.183701	0.663569	0.018971	-0.746315	-0.048279
43489	9.715806	0.929525	-1.146514	0.663685	0.018837	-0.746210	-0.048353
43490	9.674707	0.959576	-1.112548	0.663779	0.018679	-0.746122	-0.048477
43491	9.663139	0.978264	-1.159743	0.663833	0.018434	-0.746064	-0.048718
43492	9.682240	0.977270	-1.165190	0.663987	0.018193	-0.745918	-0.048957
43493	9.693808	1.017029	-1.116752	0.664157	0.017884	-0.745759	-0.049189
43494	9.659235	0.969454	-1.133218	0.664368	0.017417	-0.745560	-0.049519
43495	9.711099	0.899794	-1.135955	0.664521	0.016853	-0.745406	-0.049980
43496	9.658545	0.907780	-1.170165	0.664697	0.016341	-0.745232	-0.050400
43497	9.612780	0.870646	-1.115629	0.664868	0.015765	-0.745069	-0.050747
43498	9.690173	0.859126	-1.165546	0.665078	0.015250	-0.744874	-0.051000
43499	9.697268	0.861288	-1.170928	0.665320	0.014846	-0.744657	-0.051138
43500	9.680144	0.921954	-1.088222	0.665439	0.014550	-0.744554	-0.051184
43501	9.688897	0.909134	-0.996335	0.665466	0.014235	-0.744531	-0.051237
43502	9.544320	0.944601	-1.088895	0.665089	0.013989	-0.744873	-0.051236
43503	9.621507	1.055877	-1.051693	0.663534	0.013697	-0.746258	-0.051319
43504	9.757768	0.943945	-0.834719	0.662730	0.013288	-0.746964	-0.051541
43505	9.742712	0.962447	-1.117500	0.662112	0.012619	-0.747486	-0.052078
43506	9.933329	0.850627	-1.341727	0.661765	0.012105	-0.747773	-0.052491
43507	9.993840	0.762091	-1.146377	0.661630	0.011863	-0.747887	-0.052637
43508	9.761185	0.717805	-0.959378	0.661730	0.011883	-0.747807	-0.052513
43509	9.546484	0.622831	-0.894833	0.661802	0.012198	-0.747763	-0.052158
43510	9.410150	0.537766	-0.860779	0.661761	0.012807	-0.747827	-0.051601
43511	9.462741	0.588865	-0.829575	0.661644	0.013702	-0.747960	-0.050942
43512	9.573766	0.628882	-0.869128	0.661343	0.014753	-0.748255	-0.050225
43513	9.723417	0.791077	-1.029750	0.660938	0.015833	-0.748631	-0.049609
43514	9.751882	0.879852	-1.125824	0.660630	0.016779	-0.748919	-0.049067
43515	9.790497	0.943535	-1.244072	0.660447	0.017554	-0.749091	-0.048621
43516	9.764052	0.988537	-1.185589	0.660430	0.018304	-0.749114	-0.048214
43517	9.701874	1.101916	-1.178965	0.660478	0.018786	-0.749074	-0.048006
43518	9.579028	1.067188	-1.166747	0.660457	0.018961	-0.749091	-0.047956
43519	9.545647	1.026188	-1.113796	0.660473	0.018880	-0.749073	-0.048045
