// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
34999	-2.766391	1.954258	9.528225	-0.853907	-0.021465	-0.171142	-0.491012
35000	-2.697597	1.895899	9.498033	-0.853425	-0.021187	-0.171332	-0.491795
35001	-2.543628	1.871341	9.359060	-0.852927	-0.021054	-0.171607	-0.492569
35002	-2.631564	1.898078	9.320675	-0.852415	-0.020935	-0.171880	-0.493363
35003	-2.603545	1.904299	9.263873	-0.851926	-0.020932	-0.172198	-0.494098
35004	-2.704049	1.965659	9.292913	-0.851484	-0.021000	-0.172570	-0.494725
35005	-2.783335	2.146887	9.340209	-0.851064	-0.021013	-0.173021	-0.495291
35006	-2.809691	2.217318	9.387707	-0.850660	-0.020734	-0.173276	-0.495907
35007	-2.878677	2.051473	9.411568	-0.850220	-0.020322	-0.173366	-0.496646
35008	-2.826553	2.104419	9.475117	-0.849791	-0.020129	-0.173684	-0.497277
35009	-2.792573	2.172945	9.500309	-0.849426	-0.019977	-0.173927	-0.497820
35010	-2.813381	2.096184	9.556536	-0.848950	-0.019840	-0.174349	-0.498490
35011	-2.800616	2.090067	9.605374	-0.848377	-0.019463	-0.174511	-0.499424
35012	-2.884510	1.862541	9.693451	-0.847749	-0.018478	-0.173967	-0.500715
35013	-2.747705	1.334720	9.709460	-0.847254	-0.017634	-0.173083	-0.501888
35014	-2.551450	1.401078	9.419441	-0.846866	-0.016997	-0.172021	-0.502929
35015	-2.535820	1.449549	9.426153	-0.846394	-0.016965	-0.171443	-0.503921
35016	-2.659633	1.544804	9.363686	-0.845946	-0.017206	-0.170815	-0.504878
35017	-2.703552	1.705306	9.229320	-0.845537	-0.017733	-0.170388	-0.505688
35018	-2.664622	1.874545	9.361310	-0.845172	-0.018401	-0.170328	-0.506295
35019	-2.667342	1.933730	9.321813	-0.844821	-0.018908	-0.170202	-0.506904
35020	-2.733429	1.857108	9.290527	-0.844387	-0.019246	-0.170171	-0.507624
35021	-2.808697	1.705032	9.378346	-0.843999	-0.019263	-0.170021	-0.508319
35022	-2.778591	1.564963	9.610300	-0.843857	-0.019328	-0.169837	-0.508613
35023	-2.641787	1.695714	9.448558	-0.843953	-0.019820	-0.169688	-0.508485
35024	-2.577951	1.928309	9.197613	-0.844166	-0.020548	-0.169641	-0.508118
35025	-2.534723	1.960710	9.114861	-0.844426	-0.021153	-0.169531	-0.507698
35026	-2.423874	2.224182	9.054692	-0.844655	-0.021746	-0.169692	-0.507237
35027	-2.581114	2.547534	9.209941	-0.844833	-0.021858	-0.169753	-0.506915
35028	-2.600553	2.471268	9.447757	-0.845068	-0.021717	-0.169578	-0.506589
35029	-2.629857	2.228374	9.473484	-0.845460	-0.021687	-0.169293	-0.506030
35030	-2.588445	2.103564	9.399340	-0.845970	-0.022047	-0.169210	-0.505189
35031	-2.587608	2.439557	9.313469	-0.846368	-0.022535	-0.169408	-0.504435
35032	-2.557383	2.620690	9.334068	-0.846562	-0.022582	-0.169280	-0.504150
35033	-2.487195	2.553434	9.392904	-0.846571	-0.022669	-0.169036	-0.504212
35034	-2.551007	2.471021	9.311817	-0.846583	-0.022465	-0.168251	-0.504464
35035	-2.656740	2.633519	9.642042	-0.846618	-0.022472	-0.167404	-0.504688
35036	-2.646571	2.737039	9.658926	-0.846598	-0.022108	-0.165812	-0.505261
35037	-2.453703	2.714291	9.485546	-0.846263	-0.021786	-0.164286	-0.506335
35038	-2.563212	2.532990	9.562937	-0.845560	-0.021418	-0.162943	-0.507956
35039	-2.537976	2.209324	9.806569	-0.844661	-0.020928	-0.161453	-0.509943
35040	-2.479411	1.668148	10.085016	-0.843645	-0.020896	-0.160152	-0.512033
35041	-2.543479	1.358540	9.924673	-0.842681	-0.021142	-0.158351	-0.514167
35042	-2.501863	1.388400	10.032218	-0.841701	-0.021930	-0.156590	-0.516273
35043	-2.682429	1.408463	10.035418	-0.840632	-0.022745	-0.154374	-0.518642
35044	-2.798808	1.622380	10.107708	-0.839451	-0.024308	-0.152114	-0.521146
35045	-2.663056	1.683435	10.069790	-0.838482	-0.025844	-0.149149	-0.523483
