// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
34999	-4.797725	-2.866902	8.061083	0.951909	-0.172212	0.241632	0.076333
35000	-4.799595	-2.884072	8.072257	0.951907	-0.172237	0.241622	0.076325
35001	-4.815061	-2.880348	8.057664	0.951902	-0.172262	0.241627	0.076316
35002	-4.787822	-2.899595	8.068238	0.951899	-0.172274	0.241633	0.076306
35003	-4.804331	-2.915117	8.079883	0.951903	-0.172258	0.241629	0.076313
35004	-4.816144	-2.870246	8.088140	0.951910	-0.172243	0.241609	0.076323
35005	-4.803242	-2.885025	8.085062	0.951917	-0.172224	0.241598	0.076317
35006	-4.804072	-2.878863	8.056139	0.951923	-0.172199	0.241594	0.076308
35007	-4.828042	-2.815033	8.127535	0.951922	-0.172196	0.241596	0.076325
35008	-4.786534	-2.832296	8.123436	0.951914	-0.172198	0.241633	0.076295
35009	-4.808508	-2.897539	8.080574	0.951899	-0.172233	0.241680	0.076254
35010	-4.824918	-2.888396	8.036690	0.951887	-0.172245	0.241731	0.076216
35011	-4.782283	-2.899572	8.078306	0.951884	-0.172238	0.241755	0.076194
35012	-4.811543	-2.888066	8.109683	0.951875	-0.172244	0.241799	0.076156
35013	-4.813211	-2.885478	8.094293	0.951856	-0.172290	0.241852	0.076124
35014	-4.802844	-2.916005	8.087215	0.951823	-0.172369	0.241931	0.076102
35015	-4.804858	-2.908779	8.042609	0.951801	-0.172443	0.241966	0.076098
35016	-4.790159	-2.901513	8.072941	0.951797	-0.172472	0.241969	0.076074
35017	-4.777618	-2.911455	8.040740	0.951796	-0.172475	0.241962	0.076093
35018	-4.807493	-2.911622	8.055350	0.951794	-0.172494	0.241946	0.076130
35019	-4.790045	-2.875149	8.091550	0.951787	-0.172538	0.241933	0.076155
35020	-4.791981	-2.886980	8.073947	0.951782	-0.172572	0.241922	0.076186
35021	-4.807426	-2.888684	8.088036	0.951770	-0.172612	0.241925	0.076225
35022	-4.807377	-2.877133	8.104423	0.951757	-0.172647	0.241944	0.076253
35023	-4.822023	-2.859066	8.092270	0.951749	-0.172680	0.241955	0.076244
35024	-4.825801	-2.882406	8.057215	0.951730	-0.172711	0.242003	0.076262
35025	-4.783360	-2.891217	8.084366	0.951721	-0.172737	0.242023	0.076252
35026	-4.798326	-2.873404	8.071925	0.951695	-0.172807	0.242073	0.076261
35027	-4.815423	-2.887020	8.068528	0.951690	-0.172832	0.242078	0.076252
35028	-4.827552	-2.845414	8.090749	0.951684	-0.172838	0.242093	0.076262
35029	-4.813971	-2.849115	8.104317	0.951679	-0.172860	0.242105	0.076238
35030	-4.803077	-2.881805	8.112140	0.951658	-0.172896	0.242167	0.076218
35031	-4.807285	-2.899803	8.048014	0.951642	-0.172923	0.242223	0.076174
35032	-4.781798	-2.933235	8.055731	0.951640	-0.172908	0.242248	0.076157
35033	-4.789198	-2.833447	8.089153	0.951653	-0.172860	0.242232	0.076154
35034	-4.821601	-2.856442	8.069552	0.951649	-0.172860	0.242262	0.076109
35035	-4.809403	-2.868851	8.051602	0.951646	-0.172850	0.242293	0.076070
35036	-4.810623	-2.879283	8.108562	0.951643	-0.172839	0.242332	0.076015
35037	-4.802133	-2.929243	8.053597	0.951634	-0.172832	0.242385	0.075966
35038	-4.816897	-2.913093	8.055993	0.951641	-0.172790	0.242406	0.075915
35039	-4.818866	-2.923660	8.038797	0.951653	-0.172739	0.242398	0.075896
35040	-4.803702	-2.914456	8.070212	0.951668	-0.172673	0.242386	0.075904
35041	-4.803093	-2.898768	8.073073	0.951681	-0.172629	0.242370	0.075886
35042	-4.806916	-2.938248	8.050674	0.951692	-0.172613	0.242336	0.075896
35043	-4.806174	-2.923119	8.053412	0.951700	-0.172589	0.242318	0.075912
35044	-4.806506	-2.919335	8.039214	0.951718	-0.172541	0.242273	0.075934
35045	-4.806478	-2.917611	8.039856	0.951748	-0.172446	0.242213	0.075972
35046	-4.815906	-2.870680	8.123824	0.951784	-0.172374	0.242113	0.076002
35047	-4.797507	-2.827381	8.132353	0.951798	-0.172337	0.242074	0.076032
35048	-4.816087	-2.865827	8.110086	0.951798	-0.172340	0.242067	0.076050
35049	-4.802219	-2.863863	8.095177	0.951801	-0.172338	0.242061	0.076038
35050	-4.817776	-2.862519	8.094905	0.951790	-0.172364	0.242080	0.076050
35051	-4.820182	-2.879635	8.105844	0.951778	-0.172396	0.242106	0.076040
35052	-4.794550	-2.905461	8.070402	0.951767	-0.172432	0.242131	0.076016
35053	-4.809223	-2.890312	8.072455	0.951755	-0.172474	0.242156	0.076001
35054	-4.811725	-2.907613	8.083272	0.951740	-0.172509	0.242189	0.076006
35055	-4.812034	-2.890937	8.070556	0.951720	-0.172570	0.242225	0.076000
35056	-4.801094	-2.915523	8.035302	0.951713	-0.172578	0.242247	0.076001
35057	-4.815584	-2.904864	8.066588	0.951714	-0.172562	0.242242	0.076031
35058	-4.801600	-2.902517	8.051894	0.951723	-0.172544	0.242216	0.076047
35059	-4.814407	-2.877179	8.086300	0.951731	-0.172514	0.242198	0.076075
35060	-4.814961	-2.870958	8.057454	0.951735	-0.172508	0.242178	0.076102
35061	-4.818026	-2.901780	8.066240	0.951734	-0.172504	0.242179	0.076118
35062	-4.804201	-2.902235	8.065823	0.951740	-0.172482	0.242168	0.076126
35063	-4.833734	-2.898737	8.066462	0.951762	-0.172419	0.242118	0.076153
35064	-4.802276	-2.873506	8.086341	0.951781	-0.172363	0.242075	0.076182
35065	-4.803589	-2.886434	8.084074	0.951798	-0.172315	0.242031	0.076225
35066	-4.801444	-2.859151	8.104189	0.951813	-0.172274	0.241992	0.076246
35067	-4.789620	-2.885224	8.084340	0.951820	-0.172242	0.241983	0.076260
35068	-4.790337	-2.886945	8.098670	0.951824	-0.172220	0.241972	0.076290
35069	-4.806752	-2.893655	8.067385	0.951834	-0.172177	0.241957	0.076316
35070	-4.791472	-2.881867	8.084441	0.951849	-0.172129	0.241927	0.076336
35071	-4.791641	-2.877907	8.070384	0.951866	-0.172088	0.241875	0.076381
35072	-4.819862	-2.862501	8.088259	0.951884	-0.172021	0.241847	0.076390
35073	-4.806785	-2.882284	8.114389	0.951893	-0.172010	0.241813	0.076408
35074	-4.792477	-2.879802	8.099946	0.951908	-0.171962	0.241784	0.076428
35075	-4.795405	-2.907321	8.094686	0.951912	-0.171935	0.241774	0.076471
