// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
39183	1.156330	1.034699	9.512999	0.674794	-0.012153	-0.070520	-0.734529
39184	1.099959	1.062792	9.494916	0.674547	-0.011817	-0.070275	-0.734785
39185	1.021132	0.940978	9.466883	0.674497	-0.011410	-0.070054	-0.734858
39186	1.131525	0.914225	9.565139	0.674616	-0.010812	-0.069793	-0.734783
39187	1.132828	0.978705	9.704217	0.674560	-0.010389	-0.069206	-0.734895
39188	1.154480	0.938020	9.790551	0.674391	-0.010158	-0.068335	-0.735135
39189	1.089357	0.974940	9.846300	0.674272	-0.009881	-0.067581	-0.735318
39190	1.041892	0.904215	9.850862	0.674182	-0.009621	-0.067139	-0.735444
39191	1.153873	0.968856	9.849912	0.674167	-0.009353	-0.066863	-0.735487
39192	1.010260	0.921961	9.826604	0.674131	-0.009167	-0.066617	-0.735544
39193	1.046427	0.820526	9.810082	0.674115	-0.009035	-0.066424	-0.735579
39194	1.102098	0.861243	9.839092	0.674037	-0.008766	-0.066272	-0.735666
39195	1.025594	0.944987	9.858544	0.673933	-0.008536	-0.066057	-0.735784
39196	0.958302	0.832396	9.826167	0.673925	-0.008474	-0.065850	-0.735810
39197	1.020496	0.668113	9.758052	0.673893	-0.008456	-0.065802	-0.735844
39198	1.070933	0.576116	9.724381	0.673706	-0.008310	-0.065855	-0.736013
39199	1.024811	0.679662	9.741682	0.673360	-0.008100	-0.065765	-0.736339
39200	0.982413	0.780503	9.697278	0.672888	-0.007890	-0.065630	-0.736785
39201	0.954510	0.941779	9.648657	0.672401	-0.007661	-0.065576	-0.737237
39202	0.955029	0.970326	9.624152	0.672056	-0.007487	-0.065575	-0.737553
39203	0.996178	1.090458	9.572355	0.671849	-0.007344	-0.065579	-0.737743
39204	0.986009	1.050773	9.538704	0.671657	-0.007329	-0.065375	-0.737936
39205	0.934299	0.858763	9.506475	0.671546	-0.007290	-0.065177	-0.738055
39206	0.972938	0.751275	9.524787	0.671430	-0.007035	-0.065205	-0.738160
39207	0.952647	0.911308	9.542299	0.671135	-0.006705	-0.065328	-0.738421
39208	0.951604	0.755722	9.461045	0.670821	-0.006394	-0.065521	-0.738692
39209	1.013602	1.076074	9.466571	0.670484	-0.005895	-0.065684	-0.738987
39210	0.969853	1.228366	9.610832	0.670102	-0.005549	-0.065430	-0.739358
39211	0.945907	1.376066	9.615833	0.669886	-0.005427	-0.064905	-0.739601
39212	0.797430	0.994000	9.588719	0.669878	-0.005438	-0.064618	-0.739634
39213	1.078508	0.965590	9.659710	0.669985	-0.004934	-0.064736	-0.739530
39214	0.997220	1.156176	9.718992	0.669930	-0.004201	-0.064751	-0.739583
39215	0.858950	1.200023	9.694416	0.669872	-0.003754	-0.064725	-0.739641
