// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
39183	0.709385	-9.237162	3.059797	0.694913	-0.474970	-0.337124	0.421719
39184	0.758101	-9.307798	3.060605	0.694870	-0.474939	-0.337316	0.421671
39185	0.742629	-9.225852	3.018427	0.694934	-0.474798	-0.337348	0.421698
39186	0.600636	-9.127936	3.071706	0.694855	-0.474914	-0.337418	0.421642
39187	0.616472	-9.201031	3.060596	0.694696	-0.474948	-0.337589	0.421729
39188	0.680111	-9.274810	3.054413	0.694672	-0.474927	-0.337553	0.421820
39189	0.687865	-9.224360	3.077508	0.694705	-0.474848	-0.337534	0.421870
39190	0.732807	-9.284798	3.030118	0.694728	-0.474916	-0.337489	0.421793
39191	0.499502	-9.203196	3.098558	0.694751	-0.475002	-0.337414	0.421718
39192	0.681100	-9.170940	3.026918	0.694705	-0.474957	-0.337486	0.421787
39193	0.742736	-9.313799	3.020012	0.694614	-0.475185	-0.337473	0.421690
39194	0.603879	-9.304020	3.093157	0.694617	-0.475228	-0.337437	0.421666
39195	0.705782	-9.212724	3.120693	0.694662	-0.475216	-0.337401	0.421634
39196	0.648855	-9.252205	3.003952	0.694607	-0.475286	-0.337387	0.421656
39197	0.527331	-9.245323	3.070134	0.694629	-0.475320	-0.337233	0.421706
39198	0.662622	-9.186373	3.018305	0.694590	-0.475241	-0.337224	0.421866
39199	0.721204	-9.258892	3.077352	0.694638	-0.475210	-0.337071	0.421944
39200	0.660315	-9.280589	3.160917	0.694758	-0.475122	-0.336908	0.421976
39201	0.594362	-9.170628	3.182365	0.694891	-0.474938	-0.336737	0.422100
39202	0.626666	-9.193214	3.053435	0.694842	-0.474949	-0.336713	0.422188
39203	0.550448	-9.212138	3.102614	0.694842	-0.474877	-0.336673	0.422300
39204	0.699220	-9.216410	3.051137	0.694761	-0.474800	-0.336823	0.422401
39205	0.617197	-9.148007	3.117899	0.694710	-0.474858	-0.336853	0.422395
39206	0.587902	-9.194088	3.146656	0.694608	-0.474810	-0.337075	0.422440
39207	0.740534	-9.208266	3.124110	0.694532	-0.474781	-0.337214	0.422488
39208	0.632261	-9.176895	3.107224	0.694530	-0.474713	-0.337264	0.422527
39209	0.579574	-9.234631	3.094198	0.694455	-0.474657	-0.337487	0.422535
39210	0.707201	-9.156911	3.101129	0.694382	-0.474512	-0.337672	0.422670
39211	0.662595	-9.207827	3.172342	0.694323	-0.474430	-0.337792	0.422763
39212	0.703385	-9.112290	3.142751	0.694183	-0.474348	-0.338026	0.422897
39213	0.589734	-9.141739	3.111314	0.693887	-0.474575	-0.338344	0.422876
39214	0.668096	-9.168401	3.057414	0.693564	-0.474622	-0.338798	0.422988
39215	0.769428	-9.320065	3.007328	0.693316	-0.474668	-0.339111	0.423092
39216	0.600574	-9.311811	3.110024	0.693242	-0.474551	-0.339260	0.423225
39217	0.680258	-9.301272	3.054176	0.693190	-0.474329	-0.339411	0.423437
39218	0.761266	-9.075431	2.986368	0.693070	-0.474265	-0.339485	0.423648
39219	0.579912	-9.185611	3.049079	0.692873	-0.474345	-0.339613	0.423777
39220	0.782636	-9.177262	3.047010	0.692603	-0.474362	-0.339913	0.423959
39221	0.736092	-9.401606	3.043623	0.692486	-0.474355	-0.340076	0.424026
39222	0.588074	-9.275035	3.004353	0.692467	-0.474139	-0.340213	0.424190
39223	0.624699	-9.264320	2.840876	0.692279	-0.474103	-0.340459	0.424339
39224	0.549495	-9.223738	3.002419	0.692149	-0.474056	-0.340481	0.424585
39225	0.699535	-9.246720	3.053139	0.691960	-0.473890	-0.340728	0.424881
39226	0.875709	-9.283097	3.063500	0.691912	-0.473744	-0.340894	0.424990
