// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
40913	-2.030136	2.466404	9.382736	-0.799665	-0.052093	-0.163391	-0.575434
40914	-2.326690	2.498808	9.739011	-0.799703	-0.050841	-0.163518	-0.575458
40915	-2.216838	2.695816	9.819809	-0.799728	-0.049592	-0.163980	-0.575401
40916	-2.159309	2.797860	9.777477	-0.799787	-0.048019	-0.164289	-0.575364
40917	-2.051749	2.697146	9.661506	-0.799846	-0.046524	-0.164622	-0.575310
40918	-1.942056	2.623479	9.409840	-0.799911	-0.045076	-0.164723	-0.575307
40919	-1.970588	2.544427	9.204601	-0.799819	-0.043854	-0.164981	-0.575454
40920	-2.007699	2.386391	9.377450	-0.799672	-0.042716	-0.165102	-0.575710
40921	-1.994051	2.376100	9.558259	-0.799468	-0.041881	-0.165275	-0.576004
40922	-2.094405	2.391983	9.672782	-0.799223	-0.041150	-0.165360	-0.576372
40923	-2.177063	2.625717	9.836027	-0.798974	-0.040637	-0.165356	-0.576755
40924	-2.190480	2.643018	9.791468	-0.798754	-0.040179	-0.165023	-0.577187
40925	-2.204336	2.512607	9.762207	-0.798590	-0.040078	-0.164823	-0.577478
40926	-2.199868	2.633212	9.609362	-0.798521	-0.040208	-0.164536	-0.577647
40927	-2.154990	2.687725	9.620866	-0.798513	-0.040408	-0.164254	-0.577723
40928	-2.095018	2.770473	9.527205	-0.798625	-0.040641	-0.163704	-0.577709
40929	-2.082802	2.754191	9.296115	-0.798670	-0.040939	-0.163087	-0.577800
40930	-2.014474	2.700057	9.362983	-0.798679	-0.041186	-0.162507	-0.577934
40931	-1.993900	2.645859	9.357248	-0.798703	-0.041461	-0.161907	-0.578050
40932	-1.959503	2.575487	9.408977	-0.798724	-0.042057	-0.161618	-0.578058
40933	-2.081565	2.639480	9.364756	-0.798857	-0.042640	-0.161179	-0.577954
40934	-1.989401	2.641692	9.325585	-0.799024	-0.043081	-0.160650	-0.577837
40935	-1.968972	2.540772	9.363889	-0.799199	-0.043552	-0.160129	-0.577705
40936	-2.009041	2.717815	9.388176	-0.799342	-0.044085	-0.159731	-0.577577
40937	-2.048329	2.734323	9.361610	-0.799518	-0.044324	-0.159112	-0.577485
40938	-1.978238	2.713689	9.304363	-0.799634	-0.044521	-0.158512	-0.577475
