// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
39183	-0.312629	8.481502	5.145657	-0.401744	-0.230309	0.424218	0.778202
39184	-0.252671	8.366501	5.095318	-0.401546	-0.231898	0.423792	0.778065
39185	-0.239091	8.245654	5.118320	-0.401262	-0.233498	0.423391	0.777951
39186	-0.280325	8.265960	5.108829	-0.400922	-0.235203	0.423038	0.777805
39187	-0.355393	8.384931	5.147131	-0.400554	-0.236965	0.422671	0.777659
39188	-0.404242	8.375604	5.148727	-0.400244	-0.238720	0.422263	0.777503
39189	-0.519376	8.388177	5.125713	-0.400067	-0.240356	0.421788	0.777348
39190	-0.564030	8.373574	5.104973	-0.399999	-0.241774	0.421334	0.777190
39191	-0.585724	8.439972	5.083533	-0.400040	-0.242993	0.420885	0.777032
39192	-0.616878	8.320333	5.061880	-0.400105	-0.243957	0.420512	0.776898
39193	-0.620378	8.329382	5.066553	-0.400166	-0.244730	0.420217	0.776783
39194	-0.616986	8.446635	5.058531	-0.400248	-0.245281	0.419933	0.776721
39195	-0.548189	8.357554	5.033735	-0.400346	-0.245688	0.419706	0.776664
39196	-0.492824	8.247387	5.054726	-0.400469	-0.246060	0.419558	0.776563
39197	-0.558276	8.391874	5.113438	-0.400581	-0.246479	0.419485	0.776412
39198	-0.544977	8.423426	5.141640	-0.400615	-0.246842	0.419375	0.776338
39199	-0.556225	8.475243	5.177955	-0.400634	-0.247147	0.419165	0.776345
39200	-0.548758	8.451032	5.131881	-0.400659	-0.247322	0.418858	0.776442
39201	-0.533643	8.328629	5.134138	-0.400726	-0.247410	0.418516	0.776564
39202	-0.492785	8.256373	5.163440	-0.400811	-0.247552	0.418267	0.776608
39203	-0.537022	8.394845	5.175669	-0.400942	-0.247691	0.418030	0.776625
39204	-0.533152	8.377363	5.249392	-0.401139	-0.247805	0.417750	0.776637
39205	-0.556391	8.384976	5.270265	-0.401345	-0.247914	0.417417	0.776675
39206	-0.497011	8.322787	5.264680	-0.401550	-0.248031	0.417039	0.776735
39207	-0.450005	8.194879	5.232906	-0.401764	-0.248239	0.416706	0.776736
39208	-0.544193	8.174985	5.256416	-0.401929	-0.248597	0.416477	0.776659
39209	-0.610790	8.315687	5.290845	-0.402037	-0.249022	0.416390	0.776513
39210	-0.585676	8.393179	5.279188	-0.402105	-0.249440	0.416272	0.776407
