// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43442	-9.674923	-1.265351	-0.198898	-0.698701	0.067801	-0.711726	0.025812
43443	-9.705899	-1.325950	-0.206012	-0.698724	0.067749	-0.711701	0.025997
43444	-9.684981	-1.302714	-0.199628	-0.698755	0.067621	-0.711673	0.026261
43445	-9.689001	-1.204514	-0.164540	-0.698764	0.067618	-0.711659	0.026420
43446	-9.713177	-1.283095	-0.231693	-0.698748	0.067773	-0.711659	0.026455
43447	-9.687814	-1.316115	-0.263434	-0.698757	0.067868	-0.711638	0.026534
43448	-9.704259	-1.282549	-0.243666	-0.698738	0.067864	-0.711651	0.026692
43449	-9.669575	-1.304930	-0.168571	-0.698748	0.067919	-0.711631	0.026820
43450	-9.691909	-1.317699	-0.189963	-0.698731	0.068020	-0.711636	0.026888
43451	-9.697190	-1.357616	-0.266616	-0.698733	0.068136	-0.711621	0.026934
43452	-9.701123	-1.339366	-0.262486	-0.698738	0.068141	-0.711610	0.027073
43453	-9.698581	-1.302924	-0.284279	-0.698772	0.068178	-0.711569	0.027169
43454	-9.684575	-1.305738	-0.216085	-0.698826	0.068194	-0.711509	0.027302
43455	-9.666048	-1.320336	-0.187425	-0.698851	0.068243	-0.711478	0.027374
43456	-9.699590	-1.382313	-0.139725	-0.698889	0.068328	-0.711432	0.027392
43457	-9.686825	-1.354928	-0.157493	-0.698895	0.068323	-0.711422	0.027506
43458	-9.678235	-1.307703	-0.171356	-0.698889	0.068365	-0.711422	0.027554
43459	-9.698823	-1.332998	-0.177813	-0.698872	0.068373	-0.711436	0.027608
43460	-9.676150	-1.322634	-0.157668	-0.698845	0.068371	-0.711459	0.027696
43461	-9.700890	-1.328219	-0.160315	-0.698802	0.068330	-0.711500	0.027821
43462	-9.677895	-1.353828	-0.173530	-0.698741	0.068343	-0.711557	0.027879
43463	-9.677445	-1.346229	-0.210558	-0.698675	0.068271	-0.711624	0.027999
43464	-9.676986	-1.338545	-0.247789	-0.698593	0.068225	-0.711705	0.028103
43465	-9.697997	-1.371067	-0.220844	-0.698517	0.068208	-0.711780	0.028124
43466	-9.691488	-1.352519	-0.249382	-0.698459	0.068138	-0.711841	0.028189
43467	-9.689568	-1.322004	-0.238290	-0.698403	0.068147	-0.711895	0.028198
43468	-9.677750	-1.308995	-0.188034	-0.698357	0.068191	-0.711936	0.028171
43469	-9.690013	-1.329070	-0.206723	-0.698316	0.068272	-0.711972	0.028092
43470	-9.675524	-1.358181	-0.208794	-0.698261	0.068271	-0.712025	0.028121
43471	-9.680091	-1.301966	-0.174029	-0.698172	0.068270	-0.712112	0.028125
43472	-9.685766	-1.303975	-0.220019	-0.698108	0.068332	-0.712170	0.028106
43473	-9.664751	-1.358965	-0.246558	-0.698051	0.068337	-0.712224	0.028124
43474	-9.679543	-1.249441	-0.218316	-0.697975	0.068447	-0.712291	0.028055
43475	-9.702648	-1.355645	-0.202320	-0.697893	0.068584	-0.712364	0.027930
43476	-9.696950	-1.308969	-0.164093	-0.697802	0.068716	-0.712445	0.027811
43477	-9.710605	-1.351126	-0.231987	-0.697717	0.068895	-0.712516	0.027646
43478	-9.695463	-1.284479	-0.274776	-0.697632	0.069120	-0.712586	0.027453
43479	-9.696821	-1.306419	-0.325339	-0.697570	0.069390	-0.712629	0.027227
43480	-9.722119	-1.319105	-0.294272	-0.697497	0.069629	-0.712685	0.027016
43481	-9.686162	-1.439197	-0.353741	-0.697472	0.069723	-0.712702	0.026968
43482	-9.674196	-1.295272	-0.309332	-0.697450	0.069683	-0.712723	0.027071
43483	-9.709115	-1.203274	-0.319839	-0.697464	0.069866	-0.712696	0.026974
43484	-9.696485	-1.263127	-0.333088	-0.697500	0.070290	-0.712631	0.026630
43485	-9.705999	-1.413445	-0.397609	-0.697567	0.070608	-0.712544	0.026391
43486	-9.741609	-1.417416	-0.366763	-0.697644	0.070741	-0.712457	0.026355
43487	-9.695097	-1.330810	-0.276087	-0.697770	0.070748	-0.712329	0.026429
43488	-9.676232	-1.293317	-0.282467	-0.697882	0.070867	-0.712206	0.026462
43489	-9.678528	-1.376755	-0.255635	-0.697998	0.070982	-0.712081	0.026479
43490	-9.684544	-1.388171	-0.261031	-0.698137	0.071020	-0.711938	0.026544
43491	-9.701688	-1.318329	-0.204851	-0.698250	0.071095	-0.711818	0.026600
43492	-9.662210	-1.344079	-0.201221	-0.698348	0.071226	-0.711709	0.026602
43493	-9.689183	-1.300835	-0.182456	-0.698464	0.071336	-0.711582	0.026647
43494	-9.704657	-1.374628	-0.258115	-0.698561	0.071481	-0.711473	0.026626
43495	-9.683121	-1.378916	-0.317334	-0.698673	0.071513	-0.711356	0.026712
43496	-9.738818	-1.400460	-0.325561	-0.698812	0.071524	-0.711214	0.026840
43497	-9.734578	-1.377577	-0.328224	-0.698982	0.071493	-0.711046	0.026957
43498	-9.693675	-1.380972	-0.274371	-0.699195	0.071473	-0.710835	0.027061
43499	-9.646978	-1.338202	-0.178692	-0.699399	0.071445	-0.710633	0.027162
43500	-9.703407	-1.375166	-0.114999	-0.699585	0.071487	-0.710444	0.027203
43501	-9.678764	-1.422962	-0.072298	-0.699730	0.071455	-0.710300	0.027331
43502	-9.636094	-1.272687	0.021090	-0.699825	0.071356	-0.710208	0.027538
43503	-9.621130	-1.251430	-0.015149	-0.699853	0.071420	-0.710170	0.027630
43504	-9.694159	-1.367716	-0.152151	-0.699866	0.071450	-0.710148	0.027772
43505	-9.743532	-1.423359	-0.152698	-0.699852	0.071317	-0.710164	0.028062
43506	-9.721126	-1.290775	-0.103759	-0.699832	0.071153	-0.710187	0.028417
43507	-9.666901	-1.302905	-0.106627	-0.699776	0.071121	-0.710235	0.028667
43508	-9.643571	-1.330540	-0.120219	-0.699688	0.071134	-0.710311	0.028898
43509	-9.680762	-1.235408	-0.113168	-0.699580	0.071278	-0.710397	0.029042
43510	-9.667623	-1.254555	-0.132035	-0.699465	0.071612	-0.710477	0.029048
43511	-9.670701	-1.318725	-0.161977	-0.699309	0.072045	-0.710589	0.028981
43512	-9.684459	-1.337954	-0.163928	-0.699153	0.072466	-0.710699	0.028981
43513	-9.631587	-1.382354	-0.183428	-0.698994	0.072880	-0.710815	0.028942
43514	-9.706693	-1.519822	-0.201258	-0.698829	0.073264	-0.710938	0.028945
43515	-9.685198	-1.543106	-0.198143	-0.698660	0.073584	-0.711070	0.028960
43516	-9.655853	-1.473566	-0.210568	-0.698484	0.073877	-0.711213	0.028955
43517	-9.652406	-1.422250	-0.307404	-0.698319	0.074267	-0.711339	0.028819
43518	-9.702209	-1.492367	-0.395725	-0.698190	0.074598	-0.711437	0.028690
43519	-9.713234	-1.550218	-0.448851	-0.698125	0.074776	-0.711483	0.028665
43520	-9.739725	-1.542853	-0.466558	-0.698133	0.074762	-0.711471	0.028826
43521	-9.696235	-1.500412	-0.473226	-0.698205	0.074640	-0.711403	0.029070
43522	-9.709682	-1.502755	-0.384706	-0.698349	0.074431	-0.711269	0.029405
43523	-9.672531	-1.428695	-0.246099	-0.698511	0.074237	-0.711119	0.029673
43524	-9.684331	-1.400019	-0.143376	-0.698654	0.074117	-0.710985	0.029844
43525	-9.638788	-1.414129	-0.130230	-0.698793	0.074189	-0.710842	0.029809
43526	-9.668400	-1.501226	-0.202592	-0.698920	0.074247	-0.710711	0.029800
43527	-9.663673	-1.419259	-0.125761	-0.699018	0.074215	-0.710616	0.029855
43528	-9.674716	-1.373798	-0.095143	-0.699077	0.074281	-0.710552	0.029822
43529	-9.663084	-1.455165	-0.155552	-0.699120	0.074309	-0.710505	0.029858
43530	-9.684094	-1.392673	-0.164951	-0.699155	0.074232	-0.710473	0.029999
43531	-9.673333	-1.394602	-0.195190	-0.699182	0.074195	-0.710446	0.030110
43532	-9.659164	-1.388532	-0.162322	-0.699211	0.074265	-0.710409	0.030117
43533	-9.684993	-1.460018	-0.209394	-0.699223	0.074453	-0.710383	0.030011
43534	-9.674240	-1.461816	-0.240243	-0.699252	0.074602	-0.710343	0.029911
43535	-9.669885	-1.429736	-0.281349	-0.699292	0.074716	-0.710294	0.029838
43536	-9.686349	-1.482488	-0.255756	-0.699364	0.074815	-0.710216	0.029779
43537	-9.696212	-1.508603	-0.290703	-0.699466	0.074758	-0.710119	0.029838
43538	-9.691195	-1.366364	-0.285877	-0.699586	0.074742	-0.710001	0.029861
43539	-9.684356	-1.435814	-0.304623	-0.699743	0.074921	-0.709832	0.029735
43540	-9.737566	-1.506078	-0.329171	-0.699946	0.075093	-0.709621	0.029589
43541	-9.698784	-1.494263	-0.290038	-0.700184	0.075137	-0.709382	0.029556
43542	-9.675540	-1.373458	-0.218909	-0.700434	0.075182	-0.709132	0.029520
43543	-9.669324	-1.406958	-0.201720	-0.700695	0.075296	-0.708867	0.029420
43544	-9.656834	-1.482449	-0.138955	-0.700945	0.075435	-0.708609	0.029314
43545	-9.682488	-1.467993	-0.031369	-0.701173	0.075459	-0.708381	0.029289
43546	-9.683382	-1.396430	0.039473	-0.701338	0.075384	-0.708221	0.029412
43547	-9.628099	-1.348846	0.122056	-0.701459	0.075458	-0.708092	0.029430
43548	-9.602795	-1.388634	0.127344	-0.701503	0.075560	-0.708037	0.029456
43549	-9.609344	-1.312460	0.114486	-0.701469	0.075670	-0.708058	0.029493
43550	-9.661921	-1.360384	-0.021523	-0.701354	0.076003	-0.708140	0.029398
43551	-9.678270	-1.492922	-0.184250	-0.701241	0.076162	-0.708230	0.029501
43552	-9.689853	-1.448291	-0.311233	-0.701143	0.076108	-0.708318	0.029856
43553	-9.681154	-1.395639	-0.361382	-0.701099	0.075966	-0.708358	0.030309
43554	-9.707622	-1.398884	-0.343446	-0.701107	0.076025	-0.708332	0.030564
