// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
34999	-5.283963	0.491471	8.196327	0.959140	0.026234	0.281707	0.001668
35000	-5.237002	0.511902	8.215795	0.959153	0.026238	0.281664	0.001673
35001	-5.262844	0.467075	8.203968	0.959165	0.026215	0.281623	0.001672
35002	-5.275650	0.482856	8.205449	0.959163	0.026192	0.281635	0.001664
35003	-5.284800	0.489462	8.195908	0.959168	0.026147	0.281620	0.001672
35004	-5.263486	0.495562	8.158182	0.959175	0.026109	0.281599	0.001655
35005	-5.281691	0.513977	8.214311	0.959190	0.026046	0.281555	0.001642
35006	-5.276385	0.477973	8.205262	0.959208	0.025959	0.281503	0.001625
35007	-5.277050	0.465505	8.174465	0.959222	0.025876	0.281463	0.001591
35008	-5.254776	0.517226	8.197563	0.959241	0.025818	0.281402	0.001570
35009	-5.248612	0.491758	8.219527	0.959255	0.025742	0.281364	0.001520
35010	-5.268330	0.488211	8.213779	0.959271	0.025644	0.281317	0.001447
35011	-5.275669	0.467836	8.206307	0.959283	0.025538	0.281287	0.001369
35012	-5.287654	0.445969	8.178741	0.959301	0.025438	0.281235	0.001306
35013	-5.301155	0.418559	8.194850	0.959321	0.025354	0.281175	0.001260
35014	-5.248683	0.403155	8.205353	0.959339	0.025302	0.281118	0.001242
35015	-5.262363	0.443903	8.205563	0.959346	0.025282	0.281095	0.001233
35016	-5.282443	0.441888	8.199488	0.959351	0.025260	0.281080	0.001235
35017	-5.260632	0.392086	8.208266	0.959349	0.025242	0.281089	0.001238
35018	-5.271080	0.491311	8.181436	0.959351	0.025240	0.281083	0.001232
35019	-5.256028	0.434182	8.213448	0.959343	0.025206	0.281113	0.001237
35020	-5.273492	0.458655	8.225407	0.959337	0.025159	0.281138	0.001254
35021	-5.256806	0.473690	8.198147	0.959331	0.025103	0.281161	0.001253
35022	-5.286009	0.478694	8.182532	0.959332	0.025065	0.281162	0.001266
35023	-5.284802	0.463139	8.214616	0.959323	0.025041	0.281194	0.001286
35024	-5.267892	0.412051	8.203114	0.959326	0.025037	0.281184	0.001307
35025	-5.267802	0.422371	8.233705	0.959319	0.025042	0.281207	0.001323
35026	-5.279433	0.511144	8.175633	0.959313	0.024999	0.281232	0.001370
35027	-5.279010	0.520430	8.206508	0.959331	0.024927	0.281179	0.001381
35028	-5.279974	0.477121	8.220888	0.959350	0.024844	0.281118	0.001367
35029	-5.259458	0.441288	8.197586	0.959362	0.024799	0.281084	0.001364
35030	-5.270818	0.477942	8.261124	0.959358	0.024799	0.281096	0.001366
35031	-5.272753	0.467128	8.229368	0.959343	0.024787	0.281148	0.001362
35032	-5.284623	0.489168	8.186792	0.959338	0.024800	0.281166	0.001353
35033	-5.261698	0.481372	8.181352	0.959337	0.024795	0.281169	0.001342
35034	-5.264866	0.464547	8.193496	0.959340	0.024784	0.281161	0.001319
35035	-5.262441	0.480183	8.180944	0.959353	0.024764	0.281118	0.001280
35036	-5.262834	0.448377	8.226147	0.959366	0.024761	0.281074	0.001251
35037	-5.262096	0.422728	8.227364	0.959353	0.024768	0.281116	0.001227
35038	-5.260995	0.372155	8.229520	0.959333	0.024798	0.281184	0.001219
35039	-5.274898	0.420392	8.184854	0.959305	0.024862	0.281273	0.001232
35040	-5.278998	0.471812	8.180718	0.959299	0.024907	0.281288	0.001241
35041	-5.282453	0.455657	8.192641	0.959295	0.024900	0.281305	0.001252
35042	-5.267364	0.465700	8.209043	0.959294	0.024893	0.281308	0.001259
35043	-5.260238	0.447495	8.186783	0.959290	0.024893	0.281320	0.001262
35044	-5.262176	0.405747	8.200426	0.959292	0.024902	0.281315	0.001270
35045	-5.269374	0.465160	8.207783	0.959289	0.024900	0.281322	0.001281
35046	-5.294288	0.461943	8.181381	0.959296	0.024891	0.281300	0.001287
35047	-5.254608	0.463827	8.193470	0.959316	0.024825	0.281237	0.001282
35048	-5.282012	0.478756	8.209544	0.959329	0.024749	0.281200	0.001283
35049	-5.265427	0.452099	8.197118	0.959344	0.024713	0.281152	0.001276
35050	-5.300013	0.449891	8.205547	0.959363	0.024681	0.281091	0.001282
35051	-5.256075	0.442997	8.206922	0.959381	0.024655	0.281032	0.001272
35052	-5.272992	0.457272	8.188678	0.959394	0.024636	0.280990	0.001284
35053	-5.257011	0.467190	8.205674	0.959407	0.024630	0.280946	0.001274
35054	-5.252347	0.468067	8.225845	0.959416	0.024597	0.280918	0.001277
35055	-5.247118	0.432815	8.216525	0.959427	0.024554	0.280882	0.001254
35056	-5.266972	0.429959	8.210577	0.959437	0.024482	0.280856	0.001236
35057	-5.255781	0.437463	8.207408	0.959451	0.024444	0.280811	0.001216
35058	-5.274727	0.445495	8.232600	0.959464	0.024407	0.280771	0.001221
35059	-5.262807	0.417774	8.199980	0.959476	0.024371	0.280732	0.001226
35060	-5.274706	0.443941	8.232698	0.959483	0.024363	0.280709	0.001212
35061	-5.265209	0.410865	8.243198	0.959480	0.024360	0.280718	0.001227
35062	-5.241801	0.434692	8.192665	0.959473	0.024392	0.280739	0.001251
35063	-5.261899	0.444353	8.217034	0.959463	0.024445	0.280769	0.001264
35064	-5.279074	0.434700	8.199242	0.959445	0.024480	0.280829	0.001308
35065	-5.254696	0.480045	8.210467	0.959437	0.024537	0.280851	0.001325
35066	-5.260589	0.479053	8.189502	0.959420	0.024552	0.280908	0.001338
35067	-5.247255	0.447811	8.219630	0.959413	0.024558	0.280929	0.001336
35068	-5.276566	0.453525	8.203813	0.959408	0.024547	0.280948	0.001334
35069	-5.264925	0.436671	8.201587	0.959403	0.024535	0.280967	0.001333
35070	-5.247327	0.462829	8.205530	0.959402	0.024512	0.280972	0.001331
35071	-5.279812	0.441489	8.171204	0.959395	0.024501	0.280998	0.001339
35072	-5.262529	0.436281	8.220391	0.959404	0.024457	0.280970	0.001328
35073	-5.249002	0.460570	8.204586	0.959409	0.024431	0.280956	0.001317
35074	-5.267820	0.432749	8.199936	0.959413	0.024373	0.280948	0.001306
35075	-5.272290	0.440456	8.210580	0.959415	0.024330	0.280943	0.001297
35076	-5.257671	0.439341	8.196168	0.959417	0.024287	0.280939	0.001289
35077	-5.268806	0.439761	8.230106	0.959417	0.024240	0.280944	0.001277
35078	-5.260191	0.462301	8.194007	0.959423	0.024193	0.280930	0.001255
35079	-5.294009	0.434222	8.203572	0.959431	0.024125	0.280908	0.001259
35080	-5.267303	0.451993	8.217176	0.959437	0.024059	0.280890	0.001238
35081	-5.243971	0.443405	8.212079	0.959439	0.024042	0.280886	0.001220
35082	-5.275576	0.432551	8.208889	0.959436	0.024043	0.280896	0.001204
35083	-5.281072	0.430534	8.188210	0.959431	0.024015	0.280918	0.001210
35084	-5.254814	0.449161	8.201497	0.959434	0.023996	0.280907	0.001202
35085	-5.272977	0.432092	8.227840	0.959438	0.023965	0.280897	0.001197
35086	-5.266636	0.438740	8.204381	0.959449	0.023942	0.280862	0.001190
35087	-5.262083	0.439637	8.224517	0.959457	0.023935	0.280834	0.001167
35088	-5.249907	0.422806	8.222614	0.959456	0.023921	0.280840	0.001183
35089	-5.280812	0.443381	8.174447	0.959460	0.023928	0.280823	0.001190
35090	-5.266449	0.412137	8.205213	0.959466	0.023943	0.280803	0.001189
35091	-5.248615	0.439111	8.209343	0.959462	0.023968	0.280816	0.001219
35092	-5.245305	0.430765	8.197975	0.959460	0.024015	0.280818	0.001243
35093	-5.278044	0.446123	8.193335	0.959466	0.024033	0.280796	0.001257
35094	-5.247383	0.456640	8.195964	0.959469	0.024045	0.280782	0.001269
35095	-5.239164	0.449236	8.204964	0.959472	0.024053	0.280772	0.001285
35096	-5.277203	0.431485	8.225162	0.959470	0.024068	0.280778	0.001306
35097	-5.254139	0.424105	8.219844	0.959468	0.024078	0.280784	0.001314
35098	-5.278411	0.431865	8.224367	0.959472	0.024120	0.280768	0.001330
35099	-5.272234	0.439887	8.200723	0.959472	0.024156	0.280763	0.001362
35100	-5.264244	0.432785	8.209565	0.959469	0.024165	0.280772	0.001389
35101	-5.254888	0.466944	8.204538	0.959479	0.024163	0.280739	0.001411
35102	-5.253734	0.441263	8.205952	0.959481	0.024135	0.280735	0.001431
35103	-5.242945	0.449797	8.202518	0.959487	0.024134	0.280715	0.001454
35104	-5.267346	0.456875	8.206988	0.959479	0.024111	0.280742	0.001466
35105	-5.256764	0.398571	8.218830	0.959476	0.024120	0.280751	0.001479
35106	-5.273184	0.465723	8.216711	0.959465	0.024149	0.280789	0.001508
35107	-5.261607	0.449503	8.214407	0.959460	0.024147	0.280803	0.001529
35108	-5.273413	0.440319	8.217220	0.959463	0.024137	0.280794	0.001538
35109	-5.277800	0.449076	8.227880	0.959468	0.024143	0.280778	0.001563
35110	-5.239263	0.441505	8.208680	0.959469	0.024143	0.280773	0.001571
35111	-5.250885	0.432460	8.211603	0.959472	0.024150	0.280763	0.001589
35112	-5.275156	0.439765	8.216131	0.959472	0.024148	0.280762	0.001590
35113	-5.256307	0.441359	8.221596	0.959460	0.024177	0.280800	0.001620
35114	-5.265761	0.449232	8.211760	0.959461	0.024207	0.280796	0.001642
35115	-5.276458	0.482286	8.200476	0.959456	0.024227	0.280810	0.001659
35116	-5.259144	0.431560	8.189062	0.959455	0.024206	0.280815	0.001673
35117	-5.242317	0.426817	8.238065	0.959446	0.024207	0.280847	0.001688
35118	-5.266336	0.465160	8.197295	0.959447	0.024199	0.280843	0.001686
35119	-5.238551	0.459097	8.212273	0.959447	0.024213	0.280842	0.001699
